Country,Total Electricity Generating Capacity (MW) in 2015,Total Electricity Generation (GWh) in 2014  Capacity,Geothermal Direct-use Installed (MWt) in 2014,Geothermal Direct-use Energy Utilisation (GWh) in 2014
Albania,-,-,16.23,29.89
Algeria,-,-,54.64,472.25
Argentina,-,-,163.6,277.81
Armenia,-,-,1.5,6.25
Australia,2.1,0.5,16.09,53.99
Austria,1.4,2.2,903.4,1816.26
Belarus,-,-,4.73,31.54
Belgium,-,-,206.08,24.01
Bosnia & Herzegovina,-,-,23.92,70.1
Brazil,-,-,360.1,1839.7
Bulgaria,-,-,93.11,340.14
Canada,-,-,1466.78,3226.65
Caribbean Is,-,-,,0.77
Chile,-,-,19.91,51.7
China,27,145,17870,48434.99
Colombia,-,-,18,80.5
Costa Rica,202,1538,1,5.83
Croatia,-,-,79.94,190.15
Czech Rep,-,-,,-
Denmark,-,-,353,1043.14
Ecuador,-,-,5.16,28.45
Egypt,-,-,6.8,24.45
El Salvador,204,1558,3.36,15.56
Estonia,-,-,63,98.9
Ethiopia,7,17,2.2,11.56
Finland,-,-,1560,5000.4
France,16,115,2346.9,4407.85
Georgia,-,-,73.42,193.12
Germany,38,98,2848.6,5425.8
Greece,-,-,221.88,368.49
Greenland,-,-,1,5.83
Guadeloupe,15,75,,-
Guatemala,49,247,2.31,15.68
Honduras,-,-,1.93,12.5
Hungary,-,-,905.58,2852.47
Iceland,665,5238,2040,7422
India,-,-,986,1195.1
Indonesia,1404,10038,2.3,11.83
Iran,-,-,81.5,306.45
Ireland,-,-,265.54,344.62
Israel,-,-,82.4,609.22
Italy,824,5916,1014,2411.9
Japan,533,2602,2186.17,7258.94
Jordan,-,-,153.3,427.81
Kenya,607,3178,22.4,50.73
Korea (South),-,-,835.8,745.24
Latvia,-,-,1.63,8.84
Lithuania,-,-,94.6,198.04
Macedonia,-,-,48.68,166.99
Madagascar,-,-,2.81,21
Mexico,1069,6000,155.82,1158.7
Mongolia,-,-,20.16,94.58
Morocco,-,-,5,13.89
Nepal,-,-,3.32,22.53
Netherlands,-,-,790,1785.14
New Zealand,979,7258,487.45,2 394.91
Nicaragua,155,662,,-
Norway,-,-,1300,2294.63
Pakistan,-,-,0.54,0.68
Papua New Guinea,53,400,0.1,0.28
Peru,-,-,3,16.95
Philippines,1930,10308,3.3,11
Poland,-,-,488.84,761.89
Portugal,25,205,35.2,132.84
Romania,0.1,0.4,245.13,529.3
Russia Fed,78,455,308.2,1706.66
Saudi Arabia,-,-,44,42.47
Serbia,-,-,115.64,500.73
Slovakia,-,-,149.4,686.05
Slovenia,-,-,152.75,315.93
South Africa,-,-,2.3,10.28
Spain,-,-,64.13,95.8
Sweden,-,-,5600,14423.38
Switzerland,-,-,1733.08,3288.26
Tajikistan,-,-,2.93,15.39
Thailand,0.3,1.2,128.51,328.14
Tunisia,-,-,43.8,101.12
Turkey,624,2364,2886.3,12536
Ukraine,-,-,,33
United Kingdom,-,-,283.76,529.63
United States of America (USA),3567,16800,17415.91,21074.52
Venezuela,-,-,,3.89
Vietnam,-,-,31.2,25.65
Yemen,-,-,1,4.17
