Country,Total Wind Installed Capacity (MW) in 2015 IRENA (2016),Onshore Wind (MW) in 2015 IRENA (2016),Offshore Wind (MW) in 2015 IRENA (2016),Wind Energy Consumption In 2015 Gigawatt-hours (GWh)7778 BP (2016),Total Wind Energy Generation in 2014 (GWh) IRENA (2016),Share of Wind in Total Installed Capacity in 2015 ()79 BP (2016)
Algeria,10,10,-,-,1,-
Argentina,279,279,-,706,619,0.10
Armenia,4,4,-,-,4,-
Aruba,30,30,-,-,158,-
Australia,4187,4187,-,10692,10252,1.00
Austria,2411,2411,-,5119,3846,0.60
Azerbaijan,66,66,-,-,2,-
Bahrain,1,1,-,-,1,-
Bangladesh,2,2,-,-,4,-
Belarus,3,3,-,-,11,-
Belgium,2229,1517,712,5564,4614,0.50
BES Islands,11,11,-,-,41,-
Bolivia,3,3,-,-,8,-
Brazil,8715,8715,-,21737,12210,2.00
Bulgaria,700,700,-,1450,1331,0.20
Cabo Verde,24,24,-,-,100,-
Cambodia,1,1,-,-,1,-
Canada,11200,11200,-,24589,22538,2.60
Chile,904,904,-,2125,1443,
China,145104,144086,1 018,185100,158271,33.40
Chinese Taipei,647,647,-,1525,1501,0.10
Colombia,18,18,-,68,70,-
Costa Rica,268,268,-,-,753,0.10
Croatia,423,423,-,-,730,-
Cuba,12,12,-,-,19,-
Curacao,30,30,-,-,200,-
Cyprus,158,158,-,-,182,-
Czech Republic,281,281,-,572,477,1.30
Denmark,5063,3792,1 271,14275,14453,1.10
Dominica,7,7,-,-,1,-
Dominican,80,80,-,-,247,-
Ecuador,21,21,-,98,80,-
Egypt,610,610,-,1505,1332,0.20
Eritrea,1,1,-,-,2,-
Estonia,341,341,-,-,604,-
Ethiopia,324,324,-,-,526,0.10
Falklands Malv,2,2,-,-,5,-
Faroe Islands,20,20,-,-,35,-
Fiji,10,10,-,-,4,-
Finland,1027,1001,26,2334,1107,0.20
France,10358,10358,-,20166,17249,2.40
Germany,44947,41652,3 295,87975,57357,10.40
Greece,2152,2152,-,4631,3689,0.50
Grenada,1,1,-,4.6,-,-
Guadeloupe,23,23,-,-,54,-
Guatemala,50,50,-,-,-,-
Honduras,176,176,-,-,397,-
Hungary,329,329,-,696,657,0.10
Iceland,3,3,-,-,8,-
India,25088,25088,-,41404,33455,5.80
Indonesia,1,1,-,-,1,-
Iran,117,117,-,245,256,-
Ireland,2486,2461,25,6570,5140,0.60
Israel,6,6,-,-,9,-
Italy,9126,9126,-,14675,15178,2.10
Jamaica,42,42,-,-,119,-
Japan,3035,2985,50,5398,2196,0.70
Jordan,119,119,-,-,2,-
Kazakhstan,68,68,-,-,13,-
Kenya,19,19,-,-,18,-
Korea,869,859,11,1605,1077,0.20
Latvia,69,69,-,-,141,-
Lebanon,1,1,-,-,1,-
Lithuania,424,424,-,808,639,
Luxembourg,58,58,-,-,80,-
Macedonia,37,37,-,-,71,-
Madagascar,1,1,-,-,-,-
Martinique,1,1,-,-,2,-
Mauritania,35,35,-,-,10,-
Mauritius,1,1,-,-,3,-
Mexico,3073,3073,-,7947,6426,0.70
Moldova,1,1,-,-,1,-
Mongolia,51,51,-,-,125,-
Morocco,787,787,-,-,1924,0.20
Netherlands,3431,3004,427,7491,5797,0.80
New Caledonia,38,38,-,-,57,-
New Zealand,623,623,-,2357,2214,0.20
Nicaragua,186,186,-,-,846,-
Nigeria,2,2,-,-,2,-
Norway,863,861,2,2515,2216,0.20
Pakistan,256,256,-,639,459,0.10
Panama,270,270,-,-,116,-
Peru,143,143,-,602,258,-
Philippines,387,387,-,641,152,-
Poland,5100,5100,-,10800,7 676,1.20
Portugal,5034,5032,2,11593,12111,25
Puerto Rico,125,125,-,-,218,-
Reunion,15,15,-,-,16,-
Romania,3244,3244,-,7044,6201,0.70
Russian Federation,103,103,-,-,5,-
Samoa,1,1,-,-,2,-
Serbia,10,10,-,0.42,-,0.14
Seychelles,6,6,-,-,7,-
Slovakia,3,3,-,-,6,-
Slovenia,4,4,-,-,4,-
Somalia,2,2,-,-,6,-
South Africa,1053,1053,-,2135,600,0.20
Sri Lanka,76,76,-,-,147,-
Spain,23008,23003,5,49289,52013,5.30
St Kitts Nevis,2,2,-,-,8,-
St Pierre Mq,1,1,-,-,2,-
Sweden,6025,5813,212,16617,11234,1.40
Switzerland,60,60,-,101,101,-
Syria,1,1,-,-,1,-
Thailand,223,223,-,427,305,0.10
Tunisia,245,245,-,-,507,0.10
Turkey,4694,4694,-,11552,8520,1.00
Ukraine,426,426,-,1025,1172,
United Arab Emirates,1,1,-,-,1,-
United Kingdom,13855,8750,5 105,40442,32016,3.30
United States of America (USA),72578,72578,-,192855,183892,17.20
Uruguay,845,845,-,-,733,-
Vanuatu,3,3,-,-,5,-
Venezuela,50,50,-,-,88,-
Vietnam,135,135,-,204,68,-
